Date,Close/Last,Volume,Open,High,Low
11/11/2022,3992.93,--,3963.72,4001.48,3944.82
11/10/2022,3956.37,--,3859.89,3958.33,3859.89
11/09/2022,3748.57,--,3810.94,3818.2,3744.22
11/08/2022,3828.11,--,3817.02,3859.4,3786.28
11/07/2022,3806.8,--,3780.71,3813.95,3764.7
11/04/2022,3770.55,--,3766.98,3796.34,3708.84
11/03/2022,3719.89,--,3733.25,3750.59,3698.15
11/02/2022,3759.69,--,3852.9,3894.44,3758.68
11/01/2022,3856.1,--,3901.79,3911.79,3843.8
10/31/2022,3871.98,--,3881.85,3893.73,3863.18
10/28/2022,3901.06,--,3808.26,3905.42,3808.26
10/27/2022,3807.3,--,3834.69,3859.95,3803.79
10/26/2022,3830.6,--,3825.97,3886.15,3824.07
10/25/2022,3859.11,--,3799.44,3862.85,3799.44
10/24/2022,3797.34,--,3762.01,3810.74,3741.65
10/21/2022,3752.75,--,3657.1,3757.89,3647.42
10/20/2022,3665.78,--,3689.05,3736,3656.44
10/19/2022,3695.16,--,3703.11,3728.58,3666.51
10/18/2022,3719.98,--,3746.26,3762.79,3686.53
10/17/2022,3677.95,--,3638.65,3689.73,3638.65
10/14/2022,3583.07,--,3690.41,3712,3579.68
10/13/2022,3669.91,--,3520.37,3685.41,3491.58
10/12/2022,3577.03,--,3590.83,3608.34,3573.86
